LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARN027.8           8018138128505Morsetto x tondino / bandella Ac-GC        00010000100001099999940000000032500000000325000001EURPCE0320130301                  71                
ARN10489.3         8018138174410Scatola 4-3mod KB-KC103 BIANCO PURO        00012000120001299999940000000186000000001860000001EURPCE0320130301                  12                
ARN10489.6         8018138137958Scatola 4-3 mod. x KB-KC103 BIANCO         00012000120001299999940000000186000000001860000001EURPCE0320130301                  12                
ARN10489.AC        8018138188158Scatola 4-3mod KB103 ACERO                 00012000010000199999940000000250000000002500000001EURPCE0320130301                  10                
ARN10489.AL        8018138184839Scatola 4mod KB103 ALLUMINIO               00012000010000199999940000000260000000002600000001EURPCE0320130301                  10                
ARN10489.CL        8018138185423Scatola 4-3mod KB103 CILIEGIO              00012000010000199999940000000250000000002500000001EURPCE0320130301                  10                
ARN10489.FG        8018138188165Scatola 4-3mod KB103 FAGGIO                00012000010000199999940000000250000000002500000001EURPCE0320130301                  10                
ARN10489.QC        8018138188172Scatola 4-3mod KB103 QUERCIA               00012000010000199999940000000250000000002500000001EURPCE0320130301                  10                
ARN10489.WG        8018138185416Scatola 4-3 mod WENGE'                     00012000010000199999940000000250000000002500000001EURPCE0320130301                  10                
ARN1049            8018138111200Utensile raddrizzatore multiuso            00001000010000199999940000000390000000003900000001EURPCE0320130301                  71                
ARN1053            8018138119213Nastro bimetallico Al/Cu                   00005000050000599999940000000150000000001500000001EURPCE0320130301                  71                
ARN10689.3         8018138174427Scatola 6-7mod KB-KC103 BIANCO PURO        00009000090000999999940000000239000000002390000001EURPCE0320130301                  12                
ARN10689.6         8018138134483Scatola 6-7 mod. x KB-KC103 BIANCO         00009000090000999999940000000239000000002390000001EURPCE0320130301                  12                
ARN10689.AC        8018138188189Scatola 6-7mod KB103 ACERO                 00009000010000199999940000000290000000002900000001EURPCE0320130301                  10                
ARN10689.AL        8018138184853Scatola 6-7mod KB103 ALLUMINIO             00009000010000199999940000000290000000002900000001EURPCE0320130301                  10                
ARN10689.CL        8018138185355Scatola 6-7mod KB103 CILIEGIO              00009000010000199999940000000290000000002900000001EURPCE0320130301                  10                
ARN10689.FG        8018138188196Scatola 6-7mod KB103 FAGGIO                00009000010000199999940000000290000000002900000001EURPCE0320130301                  10                
ARN10689.QC        8018138188202Scatola 6-7mod KB103 QUERCIA               00009000010000199999940000000290000000002900000001EURPCE0320130301                  10                
ARN10689.WG        8018138185706Scatola 6-7mod KB103 WENGE'                00009000010000199999940000000290000000002900000001EURPCE0320130301                  10                
ARN1082.10         8018138127591Raddrizzatondino d10 + svolgitore          00001000010000199999940000021000000000210000000001EURPCE0320130301                  71                
ARN1082.8          8018138127607Raddrizzatondino d8 + svolgitore           00001000010000199999940000021000000000210000000001EURPCE0320130301                  71                
ARN10889.2         8018138186314Scatola 3 mod KC103 ANTRACITE              00010000100001099999940000000115000000001150000001EURPCE0320130301                  12                
ARN10889.3         8018138186192Scatola 3 mod KC103 BIANCO PURO            00010000100001099999940000000105000000001050000001EURPCE0320130301                  12                
ARN10889.6         8018138186260Scatola 3 mod KC103 BIANCO                 00010000100001099999940000000105000000001050000001EURPCE0320130301                  12                
ARN10889.AL        8018138186451Scatola 6-7mod KB-KC103 ALLUMINIO          00009000010000199999940000000269000000002690000001EURPCE0320130301                  10                
ARN1211            8018138111309Collare per tubi d 90-150 mm RAME          00005000050000599999940000000080000000000800000001EURPCE0320130301                  71                
ARN1234P0701       4011126177138Pressacavo IP68 Pg 7 GRIGIO                00500000500005099999940000000006800000000068000001EURPCE0320130301                  81                
ARN1234P0901       4011126177121Pressacavo IP68 Pg 9 GRIGIO                00500000500005099999940000000007900000000079000001EURPCE0320130301                  81                
ARN1234P1101       4011126177114Pressacavo IP68 Pg 11 GRIGIO               00500000500005099999940000000008500000000085000001EURPCE0320130301                  81                
ARN1234P1301       4011126177107Pressacavo IP68 Pg 13,5 GRIGIO             00500000500005099999940000000009600000000096000001EURPCE0320130301                  81                
ARN1234P1601       4011126177091Pressacavo IP68 Pg 16 GRIGIO               00500000500005099999940000000010900000000109000001EURPCE0320130301                  81                
ARN1234P2101       4011126177084Pressacavo IP68 Pg 21 GRIGIO               00250000250002599999940000000016500000000165000001EURPCE0320130301                  81                
ARN1234P2901       4011126177077Pressacavo IP68 Pg 29 GRIGIO               00100000100001099999940000000029100000000291000001EURPCE0320130301                  81                
ARN1234P3601       4011126177060Pressacavo IP68 Pg 36 GRIGIO               00100000100001099999940000000095700000000957000001EURPCE0320130301                  81                
ARN1234P4201       4011126177053Pressacavo IP68 Pg 42 GRIGIO               00005000050000599999940000000150000000001500000001EURPCE0320130301                  81                
ARN124M1201B       8018138159677Pressacavo IP68 M12 GRIGIO                 00080000800008099999940000000005000000000050000001EURPCE0320130301                  81                
ARN124M12EX03      8018138153606Pressacavo IP68 EEx II M12 NERO            001000010000100999999B0000000014200000000142000001EURPCE0620130301                  81                
ARN124M1601B       8018138159684Pressacavo IP68 M16 GRIGIO                 00300003000030099999940000000005700000000057000001EURPCE0320130301                  81                
ARN124M16EX03      8018138153613Pressacavo IP68 EEx II M16 NERO            00100001000010099999940000000014800000000148000001EURPCE0320130301                  81                
ARN124M2001B       8018138159691Pressacavo IP68 M20 GRIGIO                 00200002000020099999940000000006400000000064000001EURPCE0320130301                  81                
ARN124M20EX03      8018138153620Pressacavo IP68 EEx II M20 NERO            00050000500005099999940000000020000000000200000001EURPCE0320130301                  81                
ARN124M2501B       8018138159707Pressacavo IP68 M25 GRIGIO                 00120001200012099999940000000010900000000109000001EURPCE0320130301                  81                
ARN124M25EX03      8018138153637Pressacavo IP68 EEx II M25 NERO            00025000250002599999940000000028500000000285000001EURPCE0320130301                  81                
ARN124M3201B       8018138159714Pressacavo IP68 M32 GRIGIO                 00060000600006099999940000000020500000000205000001EURPCE0320130301                  81                
ARN124M32EX03      8018138153644Pressacavo IP68 EEx II M32 NERO            00010000100001099999940000000057900000000579000001EURPCE0320130301                  81                
ARN124M4001B       8018138159721Pressacavo IP68 M40 GRIGIO                 00040000400004099999940000000034500000000345000001EURPCE0320130301                  81                
ARN124M40EX03      8018138153651Pressacavo IP68 EEx II M40 NERO            000070000700007999999B0000000082800000000828000001EURPCE0620130301                  81                
ARN124P0701B       8018138137460Pressacavo IP68+dado Pg7 BLISTER           00100001000010099999940000000006400000000064000001EURPCE0320130301                  81                
ARN124P0701BE      8018138165340Pressacavo IP68+dado Pg7 BLISTER           00100001000010099999940000000004200000000042000001EURPCE0320130301                  81                
ARN124P0901B       8018138137477Pressacavo IP68+dado Pg 9 BLISTER          00300003000030099999940000000006700000000067000001EURPCE0320130301                  81                
ARN124P0901BE      8018138165357Pressacavo IP68+dado Pg 9 BLISTER          00300003000030099999940000000004500000000045000001EURPCE0320130301                  81                
ARN124P1101B       8018138137484Pressacavo IP68+dado Pg 11 BLISTER         00250002500025099999940000000007700000000077000001EURPCE0320130301                  81                
ARN124P1101BE      8018138165364Pressacavo IP68+dado Pg 11 BLISTER         00250002500025099999940000000004600000000046000001EURPCE0320130301                  81                
ARN124P1301B       8018138137491Pressacavo IP68+dado Pg13,5 BLISTER        00200002000020099999940000000008200000000082000001EURPCE0320130301                  81                
ARN124P1301BE      8018138165371Pressacavo IP68+dado Pg13,5 BLISTER        00200002000020099999940000000005100000000051000001EURPCE0320130301                  81                
ARN124P1601B       8018138137507Pressacavo IP68+dado Pg 16 BLISTER         00150001500015099999940000000009600000000096000001EURPCE0320130301                  81                
ARN124P1601BE      8018138165388Pressacavo IP68+dado Pg 16 BLISTER         00150001500015099999940000000006400000000064000001EURPCE0320130301                  81                
ARN124P2101B       8018138137514Pressacavo IP68+dado Pg 21 BLISTER         00100001000010099999940000000014200000000142000001EURPCE0320130301                  81                
ARN124P2101BE      8018138165395Pressacavo IP68+dado Pg 21 BLISTER         00100001000010099999940000000009300000000093000001EURPCE0320130301                  81                
ARN124P2901B       8018138137521Pressacavo IP68+dado Pg 29 BLISTER         00050000500005099999940000000027500000000275000001EURPCE0320130301                  81                
ARN124P2901BE      8018138165401Pressacavo IP68+dado Pg 29 BLISTER         00050000500005099999940000000018600000000186000001EURPCE0320130301                  81                
ARN124SM1203       8018138137897Pressacavo SPYRA M12 NERO                  001000010000100999999B0000000009600000000096000001EURPCE0620130301                  81                
ARN124SM1603       8018138137903Pressacavo SPYRA M16 NERO                  00040000400004099999940000000012300000000123000001EURPCE0320130301                  81                
